,AV,AC,PR,UI,S,C,I,A
random_forest,0.8559014409855902,0.8705312946870531,0.6872731272687274,0.8587614123858761,0.8508414915850842,0.7440325596744033,0.7419425805741943,0.7479925200747992
logistic_regression,0.8685513144868552,0.8623913760862392,0.6689033109668904,0.8607413925860742,0.8358816411835882,0.7347926520734792,0.7434825651743483,0.7290727092729072
xgboost,0.8860411395886041,0.8695413045869541,0.7032229677703223,0.8759212407875921,0.8567814321856781,0.7715322846771532,0.7627323726762733,0.7646023539764603
simple_mlp,0.7610718607902527,0.8605152368545532,0.49930697679519653,0.7921369075775146,0.8168217539787292,0.5967702865600586,0.577233612537384,0.659934401512146
deep_mlp,0.7610718607902527,0.8605152368545532,0.49932897090911865,0.8208258748054504,0.8284381628036499,0.6476140022277832,0.5718434453010559,0.6099927425384521
