,AV,AC,PR,UI,S,C,I,A
random_forest,0.8640413595864042,0.8719612803871961,0.6782532174678253,0.8749312506874931,0.8593114068859311,0.7701022989770102,0.7679023209767902,0.7692223077769222
logistic_regression,0.8637113628863712,0.8652513474865251,0.6621933780662194,0.8601913980860192,0.8281817181828182,0.7486525134748653,0.7624023759762403,0.7422725772742272
xgboost,0.8718512814871852,0.8686613133868661,0.6806731932680673,0.8733912660873391,0.8516114838851612,0.7840721592784072,0.7768122318776812,0.7709822901770982
simple_mlp,0.7610718607902527,0.8605152368545532,0.589356005191803,0.8266780972480774,0.8154357075691223,0.6432798504829407,0.6681627035140991,0.6665786504745483
deep_mlp,0.7610718607902527,0.8605152368545532,0.5846038460731506,0.8418806195259094,0.8198138475418091,0.700833797454834,0.7030118703842163,0.6988977789878845
