,AV,AC,PR,UI,S,C,I,A
random_forest,0.8585414145858541,0.8680013199868001,0.6971730282697173,0.8573314266857331,0.8516114838851612,0.7459025409745903,0.7473325266747333,0.7571224287757122
logistic_regression,0.8817511824881751,0.8654713452865471,0.7043229567704323,0.8670113298867012,0.8396216037839621,0.7547024529754702,0.7549224507754922,0.7580024199758002
xgboost,0.8883511164888351,0.8686613133868661,0.7298427015729843,0.8743812561874381,0.8552414475855241,0.7726322736772633,0.7666923330766693,0.7681223187768123
simple_mlp,0.8184717893600464,0.8605152368545532,0.6420698165893555,0.8577871322631836,0.8336083292961121,0.7320528626441956,0.7302708029747009,0.7257606387138367
deep_mlp,0.7625899314880371,0.8605152368545532,0.6374276876449585,0.8594152331352234,0.8326182961463928,0.7350890040397644,0.7350890040397644,0.7349349856376648
