,AV,AC,PR,UI,S,C,I,A
random_forest,0.8703112968870311,0.8750412495875042,0.6898031019689803,0.8831811681883182,0.8632713672863271,0.7772522274777253,0.7836321636783632,0.7738422615773842
logistic_regression,0.8618413815861842,0.8653613463865362,0.6529534704652954,0.8705312946870531,0.8364316356836432,0.7586624133758663,0.7659223407765923,0.7412825871741282
xgboost,0.8742712572874272,0.8718512814871852,0.6921130788692114,0.8806511934880651,0.8524914750852491,0.7878121218787812,0.7880321196788033,0.7770322296777032
simple_mlp,0.7610718607902527,0.8605152368545532,0.576287567615509,0.812311589717865,0.8162277340888977,0.6709787845611572,0.6851252913475037,0.595670223236084
deep_mlp,0.7610718607902527,0.8605152368545532,0.5784876346588135,0.8428486585617065,0.8160957098007202,0.7114381790161133,0.6869733333587646,0.6658086180686951
