,AV,AC,PR,UI,S,C,I,A
random_forest,0.8279617203827961,0.8586514134858652,0.5892641073589264,0.8390716092839071,0.8179518204817952,0.7140028599714003,0.7241227587724123,0.6960730392696073
logistic_regression,0.8445715542844572,0.8615113848861511,0.5930040699593004,0.8296117038829611,0.8164118358816412,0.7114728852711473,0.7149928500714993,0.6816631833681663
xgboost,0.8433615663843361,0.8638213617863821,0.6007039929600704,0.8329116708832912,0.8205917940820592,0.7273127268727313,0.7252227477725223,0.7058629413705862
simple_mlp,0.7967571020126343,0.8605152368545532,0.572547435760498,0.8316062688827515,0.8173277974128723,0.7014718651771545,0.6981497406959534,0.6625305414199829
deep_mlp,0.7953050136566162,0.8605152368545532,0.5632411241531372,0.8330582976341248,0.8172177672386169,0.6988757252693176,0.7014498710632324,0.6677666902542114
