,AV,AC,PR,UI,S,C,I,A
random_forest,0.8653613463865362,0.8743812561874381,0.6804531954680453,0.8787812121878781,0.8544714552854471,0.7616323836761633,0.7682323176768232,0.7627323726762733
logistic_regression,0.8565614343856561,0.8656913430865691,0.6481135188648114,0.8648113518864812,0.8318116818831812,0.7320426795732042,0.7372126278737212,0.7243427565724343
xgboost,0.8808711912880871,0.8675613243867561,0.6975030249697503,0.8893411065889341,0.8551314486855132,0.7709822901770982,0.7681223187768123,0.7704322956770432
simple_mlp,0.7610718607902527,0.8605152368545532,0.49930697679519653,0.8086374998092651,0.8171297907829285,0.6028864979743958,0.5861878991127014,0.567443311214447
deep_mlp,0.7610718607902527,0.8605152368545532,0.49930697679519653,0.8409345746040344,0.8171077966690063,0.6200470924377441,0.5804897546768188,0.6755329370498657
