,AV,AC,PR,UI,S,C,I,A
random_forest,0.8277417225827741,0.8589814101858981,0.5911340886591134,0.8381916180838191,0.8117918820811791,0.7170828291717083,0.7175228247717523,0.6900230997690023
logistic_regression,0.8445715542844572,0.8615113848861511,0.6009239907600924,0.8354416455835442,0.8190518094819051,0.7157628423715763,0.7192828071719283,0.6890331096689033
xgboost,0.8451215487845122,0.8661313386866132,0.6142338576614234,0.8466615333846661,0.8210317896821032,0.7224727752722473,0.7218127818721812,0.7134528654713452
simple_mlp,0.7986051440238953,0.8605152368545532,0.573031485080719,0.8279761672019958,0.8145337104797363,0.6970276832580566,0.7001737952232361,0.6669966578483582
deep_mlp,0.7919608950614929,0.8605152368545532,0.561569094657898,0.8331903219223022,0.8171517848968506,0.6968296766281128,0.7018458843231201,0.6641145944595337
