,AV,AC,PR,UI,S,C,I,A
random_forest,0.8648113518864812,0.8743812561874381,0.6859531404685953,0.8773512264877351,0.8521614783852162,0.7637223627763723,0.7575624243757563,0.7597624023759763
logistic_regression,0.8608513914860851,0.8618413815861842,0.6420635793642063,0.8643713562864371,0.8297217027829722,0.7312726872731272,0.7437025629743702,0.7316026839731603
xgboost,0.8834011659883401,0.8729512704872952,0.6991530084699153,0.8835111648883511,0.8601913980860192,0.7792322076779232,0.7752722472775272,0.7682323176768232
simple_mlp,0.7610718607902527,0.8605152368545532,0.4994169771671295,0.805095374584198,0.8168437480926514,0.6003124117851257,0.6201350688934326,0.6346115469932556
deep_mlp,0.7610718607902527,0.8605152368545532,0.4995489716529846,0.8397905230522156,0.8160297274589539,0.6145468950271606,0.6454139351844788,0.6753789782524109
