model,AV,AC,PR,UI,S,C,I,A
random_forest,0.8716312836871631,0.8768012319876801,0.6896931030689694,0.8846111538884611,0.8551314486855132,0.7723022769772302,0.7757122428775712,0.7770322296777032
logistic_regression,0.8590914090859091,0.8628313716862831,0.6570234297657024,0.8718512814871852,0.8319216807831922,0.7597624023759763,0.7624023759762403,0.7377626223737762
xgboost,0.8753712462875372,0.8704212957870421,0.6986030139698604,0.8867011329886701,0.8506214937850621,0.7923220767792322,0.7914420855791442,0.7736222637773622
simple_mlp,0.7610718607902527,0.8605152368545532,0.5736694931983948,0.8114315867424011,0.8169757723808289,0.6521241664886475,0.6701427698135376,0.5954942107200623
deep_mlp,0.7610718607902527,0.8605152368545532,0.5045211315155029,0.8393505215644836,0.8160957098007202,0.690823495388031,0.6946735978126526,0.6481640338897705
