Improvement,AV,AC,PR,UI,S,C,I,A
allMiniLM-base,0.8860411395886041,0.8695413045869541,0.7032229677703223,0.8759212407875921,0.8567814321856781,0.7715322846771532,0.7627323726762733,0.7646023539764603
allMiniLM-CWE,0.8808711912880871,0.8675613243867561,0.6975030249697503,0.8893411065889341,0.8551314486855132,0.7709822901770982,0.7681223187768123,0.7704322956770432
ATTACK-BERT-base,0.8718512814871852,0.8686613133868661,0.6806731932680673,0.8733912660873391,0.8516114838851612,0.7840721592784072,0.7768122318776812,0.7709822901770982
ATTACK-BERT-CWE,0.8742712572874272,0.8718512814871852,0.6921130788692114,0.8806511934880651,0.8524914750852491,0.7878121218787812,0.7880321196788033,0.7770322296777032
