Embedding,AV,AC,PR,UI,S,C,I,A
ATTACK-BERT,0.8718512814871852,0.8686613133868661,0.6806731932680673,0.8733912660873391,0.8516114838851612,0.7840721592784072,0.7768122318776812,0.7709822901770982
nomic,0.8883511164888351,0.8686613133868661,0.7298427015729843,0.8743812561874381,0.8552414475855241,0.7726322736772633,0.7666923330766693,0.7681223187768123
all-MiniLM,0.8860411395886041,0.8695413045869541,0.7032229677703223,0.8759212407875921,0.8567814321856781,0.7715322846771532,0.7627323726762733,0.7646023539764603
